by_group,choice,value,n,question,text,group,Likert score
$0 to $599 per week,Strongly disagree,0.05,23555,Q69_1,I think I would be happier if I... - Had more money,income,1
$0 to $599 per week,Somewhat disagree,0.07,23555,Q69_1,I think I would be happier if I... - Had more money,income,2
$0 to $599 per week,Neutral,0.13,23555,Q69_1,I think I would be happier if I... - Had more money,income,3
$0 to $599 per week,Somewhat agree,0.35,23555,Q69_1,I think I would be happier if I... - Had more money,income,4
$0 to $599 per week,Strongly agree,0.38,23555,Q69_1,I think I would be happier if I... - Had more money,income,5
$0 to $599 per week,Don't know,0.01,23555,Q69_1,I think I would be happier if I... - Had more money,income,Don't know
"$1,000 to 1,499 per week",Strongly disagree,0.04,23555,Q69_1,I think I would be happier if I... - Had more money,income,1
"$1,000 to 1,499 per week",Somewhat disagree,0.06,23555,Q69_1,I think I would be happier if I... - Had more money,income,2
"$1,000 to 1,499 per week",Neutral,0.16,23555,Q69_1,I think I would be happier if I... - Had more money,income,3
"$1,000 to 1,499 per week",Somewhat agree,0.39,23555,Q69_1,I think I would be happier if I... - Had more money,income,4
"$1,000 to 1,499 per week",Strongly agree,0.33,23555,Q69_1,I think I would be happier if I... - Had more money,income,5
"$1,000 to 1,499 per week",Don't know,0,23555,Q69_1,I think I would be happier if I... - Had more money,income,Don't know
"$1,500 to $2,499 per week",Strongly disagree,0.04,23555,Q69_1,I think I would be happier if I... - Had more money,income,1
"$1,500 to $2,499 per week",Somewhat disagree,0.08,23555,Q69_1,I think I would be happier if I... - Had more money,income,2
"$1,500 to $2,499 per week",Neutral,0.13,23555,Q69_1,I think I would be happier if I... - Had more money,income,3
"$1,500 to $2,499 per week",Somewhat agree,0.39,23555,Q69_1,I think I would be happier if I... - Had more money,income,4
"$1,500 to $2,499 per week",Strongly agree,0.35,23555,Q69_1,I think I would be happier if I... - Had more money,income,5
"$1,500 to $2,499 per week",Don't know,0.01,23555,Q69_1,I think I would be happier if I... - Had more money,income,Don't know
"$2,500 to $2,999 per week",Strongly disagree,0.04,23555,Q69_1,I think I would be happier if I... - Had more money,income,1
"$2,500 to $2,999 per week",Somewhat disagree,0.09,23555,Q69_1,I think I would be happier if I... - Had more money,income,2
"$2,500 to $2,999 per week",Neutral,0.14,23555,Q69_1,I think I would be happier if I... - Had more money,income,3
"$2,500 to $2,999 per week",Somewhat agree,0.39,23555,Q69_1,I think I would be happier if I... - Had more money,income,4
"$2,500 to $2,999 per week",Strongly agree,0.34,23555,Q69_1,I think I would be happier if I... - Had more money,income,5
"$2,500 to $2,999 per week",Don't know,0,23555,Q69_1,I think I would be happier if I... - Had more money,income,Don't know
"$3,000 or more per week",Strongly disagree,0.06,23555,Q69_1,I think I would be happier if I... - Had more money,income,1
"$3,000 or more per week",Somewhat disagree,0.09,23555,Q69_1,I think I would be happier if I... - Had more money,income,2
